,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,195.4236622309073,9.217631606462145,186.6796818368276,16.384225694742014,858.3840114024347,8.464748365979771,52.22421566819526
0,False,True,True,0,RF,193.72503942585473,8.199734838916598,154.67588519244055,13.84283308535933,918.8899590882573,8.967062632948224,60.401319261290894
0,True,False,True,0,RF,190.44987798072134,8.31948695710848,204.77425724332778,15.404588211948036,799.7067796661809,8.222449530151376,48.77942649615291
0,False,False,True,0,RF,169.09359631270968,6.3671800023255205,146.1839179799718,7.3908942585213255,898.4615677161238,8.670466523174913,52.04379383440046
0,True,True,False,0,RF,177.84174261211288,6.732176788568567,177.31313055170057,13.761147504705189,904.2990757330795,10.37159316641231,55.063294466527054
0,False,True,False,0,RF,170.99804884417978,5.550150193008243,169.8996977085599,15.04624471364366,892.6948010684791,10.089667287606183,58.812465138858215
0,True,False,False,0,RF,180.19223149930113,6.674568853109508,172.42168059527538,9.75997260621763,879.2277602459994,10.316097940779045,44.69330527192719
0,False,False,False,0,RF,184.07547948686863,6.737603220866374,173.1874843499898,14.59061125967997,861.0991689694421,10.574804435391435,47.63639682596916
0,True,True,True,50,RF,211.34409080190693,9.082674658943148,179.73165492313763,14.424253187226771,251.61424141402998,5.386270305015739,78.09950621060825
0,False,True,True,50,RF,213.63936655352774,7.989166151210933,139.5148594890382,9.025208324039932,319.5605006370968,8.319346150680412,77.38211618801479
0,True,False,True,50,RF,202.78786071092313,8.739716399880685,141.70359054777404,12.946165154832428,269.6023180636749,7.038103347895866,70.48637808565336
0,False,False,True,50,RF,215.12064850534176,7.83396205105409,162.8913993904913,10.700159283928635,301.13733691773075,7.181693740020985,65.2965625447879
0,True,True,False,50,RF,198.83459108914442,7.610457716972957,156.363306958218,10.796266308383927,271.06430973458544,4.488558587513116,76.64307606635897
0,False,True,False,50,RF,190.7270208269797,7.502954308154684,148.49850663193095,14.62772100386353,298.5316982726429,5.589075398105026,71.62079449586
0,True,False,False,50,RF,208.29202244869293,7.965249158625758,156.53123653367112,12.201778515626076,268.9468497074008,4.4292374598498165,63.63096074409461
0,False,False,False,50,RF,210.6443316573786,8.524764166646275,141.63014594163877,12.393140976090425,283.5840667872374,4.488558587513116,61.0395737589018
0,True,True,True,100,RF,202.134279520505,7.335457149612241,226.56809358501053,15.272664542818205,164.6139875704993,6.0,125.81904118315738
0,False,True,True,100,RF,212.2543214496667,7.504979686490655,231.460214960328,16.38789859486011,211.90171411562662,5.722706232293572,129.8594294348844
0,True,False,True,100,RF,195.49251525989737,9.004835216299195,246.62132195140032,21.014419834666317,150.9312903151995,5.959374878186776,119.25341626162907
0,False,False,True,100,RF,217.16643347030637,7.557186234447364,248.33306910921021,16.237658675218043,185.596454867866,5.951919076093217,115.80840841221014
0,True,True,False,100,RF,189.0140340126522,7.110326857060125,166.37949687946622,9.409586021854533,165.70123165247298,6.148974294721926,127.44763377653729
0,False,True,False,100,RF,196.65718099122603,7.1988763349890075,174.96746664989465,7.841913661584994,203.72014494807073,7.181693740020985,126.68350043320011
0,True,False,False,100,RF,216.55187721212047,8.938276374535903,175.93901907295725,11.961526160247356,194.7378592407791,6.80219322982082,126.54415410521084
0,False,False,False,100,RF,206.25331936161672,8.275228525204739,180.3010296712097,12.007367953256875,172.869788334709,6.80219322982082,118.66912778401317
0,True,True,True,150,RF,192.18992796301853,8.13247937940362,228.63291476244888,11.32350445247057,98.2490368193102,5.5823537887832995,97.39183602733166
0,False,True,True,150,RF,196.34752610671148,7.62401031377921,152.64908341867365,10.542662590505804,98.28005123424214,5.588335865584678,97.18476832703485
0,True,False,True,150,RF,199.95315545764964,8.312083193949409,252.81959295563712,16.644475909480548,96.15642877012857,6.525843525411424,84.84624229316117
0,False,False,True,150,RF,200.90273546288523,8.142871926324766,166.66961869310956,12.12880963138413,95.57105454554232,5.268378773346955,84.5341422302914
0,True,True,False,150,RF,191.3120735407498,8.961475286199647,212.29865846039328,10.169688864957905,104.5602166284174,6.119814449480685,93.3809399483737
0,False,True,False,150,RF,198.22670323429728,7.875868827517854,150.85776744176422,9.135302260940247,94.24493619088932,5.062496146837436,96.66916128493692
0,True,False,False,150,RF,195.691996851261,9.495622379021071,170.28118675408624,12.709468067210706,115.49142040427937,5.975959538046609,84.93036990323382
0,False,False,False,150,RF,205.2015780582537,8.060756737634538,120.7578020085303,6.643856189774725,94.63089939615304,5.310643761155337,78.69643138227575
