"Player ID","Player","Team","Position",PASSING_YARDS,PASSING_TOUCHDOWNS,PASSING_INTERCEPTIONS,RUSHING_YARDS,RUSHING_TOUCHDOWNS,"Fantasy Points"
"945","Patrick Mahomes","KC","QB","5265.0","40.2","8.2","319.5","2.4","395.05"
"1205","Josh Allen","BUF","QB","4672.2","34.0","12.3","484.4","7.1","381.83"
"1517","Kyler Murray","ARI","QB","4289.8","26.9","12.8","729.1","7.5","368.80"
"1209","Lamar Jackson","BAL","QB","3428.8","26.1","10.2","991.8","6.6","361.13"
"725","Dak Prescott","DAL","QB","5017.8","31.6","11.7","305.4","3.8","348.65"
"231","Russell Wilson","SEA","QB","4530.5","33.9","11.2","424.4","2.2","342.86"
"52","Aaron Rodgers","GB","QB","4641.4","37.4","6.6","163.6","2.0","342.32"
"1884","Justin Herbert","LAC","QB","4674.6","32.8","11.3","264.7","4.0","338.85"
"36","Tom Brady","TB","QB","4832.0","37.1","12.6","23.0","1.8","322.38"
"1888","Jalen Hurts","PHI","QB","4048.1","23.3","15.5","714.5","5.4","320.47"
"228","Ryan Tannehill","TEN","QB","4169.1","31.5","9.8","255.6","4.1","315.82"
"99","Matthew Stafford","LAR","QB","4965.2","30.1","12.0","132.4","0.9","304.35"
"1882","Joe Burrow","CIN","QB","4508.0","26.4","9.8","233.8","2.8","296.00"
"2322","Trevor Lawrence","JAC","QB","4109.7","25.2","13.7","327.8","3.3","280.77"
"86","Matt Ryan","ATL","QB","4521.8","28.2","12.6","102.0","1.4","277.17"
"1883","Tua Tagovailoa","MIA","QB","4108.6","26.8","11.4","182.8","2.9","276.32"
"1206","Baker Mayfield","CLE","QB","4142.5","28.8","10.7","172.3","1.3","276.13"
"57","Ryan Fitzpatrick","WAS","QB","4191.0","25.6","16.4","246.2","2.7","271.16"
"230","Kirk Cousins","MIN","QB","4278.2","28.5","11.6","121.9","0.9","270.52"
"439","Derek Carr","LV","QB","4325.6","25.7","10.5","127.3","1.9","268.75"
"1520","Daniel Jones","NYG","QB","3920.4","22.9","15.0","417.9","2.2","263.21"
"45","Ben Roethlisberger","PIT","QB","4176.5","30.4","12.0","27.7","0.3","262.03"
"569","Jameis Winston","NO","QB","4168.5","25.1","16.0","214.7","1.7","257.21"
"2324","Zach Wilson","NYJ","QB","3955.5","22.5","12.5","260.0","2.3","254.32"
"1208","Sam Darnold","CAR","QB","4214.6","22.7","16.3","217.4","2.5","253.02"
"2323","Justin Fields","CHI","QB","3467.8","20.7","12.5","399.1","3.4","251.42"
"2325","Trey Lance","SF","QB","3232.4","19.9","10.5","424.8","4.0","250.18"
"2326","Mac Jones","NE","QB","4087.5","24.4","13.1","154.1","1.3","249.41"
