"Player ID","Player","Team","Position",RUSHING_YARDS,RUSHING_TOUCHDOWNS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"954","Christian McCaffrey","CAR","RB","1184.3","10.9","88.2","733.4","4.0","275.17"
"729","Derrick Henry","TEN","RB","1633.3","13.4","23.5","171.0","2.0","265.03"
"952","Dalvin Cook","MIN","RB","1381.6","12.1","54.2","468.1","2.4","264.47"
"1221","Nick Chubb","CLE","RB","1351.7","11.5","30.5","258.8","1.6","234.25"
"956","Alvin Kamara","NO","RB","899.7","9.0","77.9","695.3","3.0","227.30"
"1907","Jonathan Taylor","IND","RB","1225.0","10.9","40.8","314.7","2.0","226.27"
"728","Ezekiel Elliott","DAL","RB","1157.7","9.6","53.7","425.4","2.3","221.91"
"1104","Aaron Jones","GB","RB","1077.7","9.4","51.9","414.3","2.7","217.00"
"1216","Saquon Barkley","NYG","RB","1107.3","8.5","52.9","429.6","2.3","213.39"
"2339","Najee Harris","PIT","RB","1107.0","8.4","46.8","363.5","2.2","204.35"
"1957","Antonio Gibson","WAS","RB","1048.9","9.4","48.1","369.5","1.7","203.34"
"955","Joe Mixon","CIN","RB","1091.3","7.3","50.7","379.0","2.4","200.13"
"1531","David Montgomery","CHI","RB","1047.3","8.3","40.8","340.7","1.8","194.60"
"1148","Austin Ekeler","LAC","RB","813.6","4.1","83.3","692.9","3.6","192.65"
"1918","James Robinson","JAC","RB","1035.1","7.1","48.4","350.1","1.9","188.32"
"1908","Clyde Edwards-Helaire","KC","RB","972.4","6.6","49.7","409.5","2.1","186.79"
"1128","Chris Carson","SEA","RB","998.8","7.2","42.5","324.9","2.5","185.47"
"1426","Gus Edwards","BAL","RB","1098.6","9.2","19.6","168.8","1.0","183.14"
"1533","Josh Jacobs","LV","RB","1042.6","9.1","29.3","226.6","1.1","183.02"
"1539","Miles Sanders","PHI","RB","1035.6","6.6","41.1","338.9","1.8","182.45"
"1902","D'Andre Swift","DET","RB","807.9","7.2","55.6","426.6","2.0","172.05"
"1535","Damien Harris","NE","RB","1064.3","7.4","16.5","128.6","0.7","164.29"
"582","Mike Davis","ATL","RB","887.3","6.3","46.2","316.7","1.6","162.40"
"1547","Darrell Henderson","LAR","RB","816.5","6.6","33.6","288.6","1.5","155.51"
"2341","Javonte Williams","DEN","RB","892.5","5.8","31.8","230.1","1.3","150.06"
"697","Raheem Mostert","SF","RB","843.8","6.0","24.1","226.2","1.4","146.60"
"1541","Myles Gaskin","MIA","RB","769.6","5.1","44.1","344.9","1.7","146.25"
"1318","Chase Edmonds","ARI","RB","699.6","4.0","50.3","388.5","2.6","145.11"
"961","Kareem Hunt","CLE","RB","655.5","5.4","38.7","318.4","2.5","141.79"
"574","Melvin Gordon","DEN","RB","779.6","5.6","27.2","169.0","1.0","128.16"
"1219","Sony Michel","LAR","RB","764.2","5.4","18.1","146.1","0.7","125.23"
"2342","Trey Sermon","SF","RB","691.8","5.3","24.1","205.2","1.1","124.20"
"1218","Ronald Jones","TB","RB","758.3","5.9","15.3","108.8","0.7","122.71"
"953","Leonard Fournette","TB","RB","639.7","5.9","28.1","190.1","0.9","121.08"
"967","James Conner","ARI","RB","621.4","5.7","28.1","201.2","0.9","118.56"
"1910","AJ Dillon","GB","RB","749.9","5.0","18.4","133.2","0.6","118.31"
"1903","Zack Moss","BUF","RB","622.8","5.0","24.4","176.2","1.1","114.10"
"733","Kenyan Drake","LV","RB","568.3","4.4","35.0","247.3","0.9","109.76"
"962","Jamaal Williams","DET","RB","592.8","3.2","33.9","251.2","0.9","106.00"
"2343","Michael Carter","NYJ","RB","565.4","3.8","29.2","234.9","0.9","104.03"
"1540","Devin Singletary","BUF","RB","558.3","2.5","32.0","238.2","1.1","97.95"
"1545","Tony Pollard","DAL","RB","459.7","3.4","30.4","227.5","1.1","92.72"
"584","David Johnson","HOU","RB","403.5","3.4","29.0","256.9","1.2","91.84"
"1225","Phillip Lindsay","MIA","RB","584.9","3.0","17.8","121.4","0.4","88.33"
"1669","Alexander Mattison","MIN","RB","531.8","2.8","18.9","146.1","0.8","86.99"
"1232","Nyheim Hines","IND","RB","277.1","2.1","48.7","369.0","2.0","86.81"
"2144","Ty'Son Williams","BAL","RB","498.8","3.5","17.9","136.3","0.5","85.11"
"575","Tevin Coleman","NYJ","RB","485.0","3.3","19.3","145.4","0.4","82.54"
"484","James White","NE","RB","196.9","1.6","51.4","406.6","1.5","76.55"
"687","Malcolm Brown","MIA","RB","397.2","3.3","20.0","141.6","0.4","74.28"
"941","J.D. McKissic","WAS","RB","259.3","1.2","46.5","348.3","1.2","73.06"
"401","Latavius Murray","BAL","RB","403.5","2.6","18.0","130.3","0.7","71.08"
"442","Carlos Hyde","JAC","RB","421.4","2.7","16.4","122.8","0.3","70.32"
"1220","Rashaad Penny","SEA","RB","379.9","2.8","15.6","122.6","0.5","67.95"
"959","Wayne Gallman","MIN","RB","415.4","3.0","13.5","85.7","0.3","67.81"
"534","Damien Williams","CHI","RB","312.0","2.3","26.7","197.8","0.9","67.78"
"2344","Rhamondre Stevenson","NE","RB","409.1","3.3","12.1","82.6","0.2","67.47"
"177","Mark Ingram","NO","RB","384.5","3.1","12.5","97.5","0.4","66.80"
"1233","Darrel Williams","KC","RB","362.8","2.5","21.1","141.1","0.5","66.59"
"1916","Salvon Ahmed","MIA","RB","370.1","2.2","17.1","116.1","0.3","62.42"
"1552","Ty Johnson","NYJ","RB","367.4","2.0","17.8","116.7","0.4","61.91"
"2346","Chuba Hubbard","CAR","RB","354.9","2.5","14.1","114.8","0.3","61.07"
"329","Giovani Bernard","TB","RB","179.3","1.1","41.7","312.8","1.1","60.61"
"1230","Justin Jackson","LAC","RB","352.9","1.8","17.6","125.4","0.4","59.83"
"335","Cordarrelle Patterson","ATL","RB","259.4","1.6","19.7","171.1","1.1","58.65"
"1913","Darrynton Evans","TEN","RB","317.4","1.7","17.6","138.3","0.6","56.97"
"1400","Boston Scott","PHI","RB","251.2","1.7","22.1","171.4","0.8","55.76"
"732","Devontae Booker","NYG","RB","316.5","2.0","16.7","113.4","0.4","55.59"
"1933","Tony Jones","NO","RB","322.1","1.5","17.0","122.0","0.5","55.21"
"1030","Marlon Mack","IND","RB","319.7","2.4","12.8","89.5","0.1","54.72"
"1546","Justice Hill","BAL","RB","287.6","1.3","18.4","124.8","0.5","51.14"
"957","Samaje Perine","CIN","RB","300.8","1.9","14.4","92.1","0.2","50.69"
"2340","Kenneth Gainwell","PHI","RB","253.6","1.7","17.4","139.0","0.6","50.66"
"1912","Joshua Kelley","LAC","RB","303.2","2.1","13.7","86.0","0.2","49.72"
"1511","Jeff Wilson","SF","RB","268.9","2.8","6.7","58.4","0.5","49.53"
"488","Jerick McKinnon","KC","RB","188.3","1.2","22.1","177.0","0.9","48.23"
"1080","Tarik Cohen","CHI","RB","150.5","0.8","29.8","216.4","1.0","44.79"
"2345","Jaret Patterson","WAS","RB","242.1","2.3","7.9","50.6","0.2","43.37"
"2357","Larry Rountree","LAC","RB","260.8","1.3","10.9","84.5","0.2","42.63"
"394","Kyle Juszczyk","SF","RB","44.6","0.6","21.6","219.6","1.7","39.02"
"2565","Jake Funk","LAR","RB","247.8","1.0","9.9","79.1","0.2","38.99"
"1532","Benny Snell","PIT","RB","239.2","1.7","7.3","47.2","0.1","37.34"
"1909","Anthony McFarland","PIT","RB","205.3","1.4","9.0","67.3","0.1","34.76"
"1948","Lynn Bowden","MIA","RB","39.9","0.6","20.5","198.3","1.2","34.62"
"1136","Matt Breida","BUF","RB","226.2","0.7","12.2","86.9","0.3","34.61"
"1920","DeeJay Dallas","SEA","RB","148.2","0.9","15.5","122.4","0.5","33.96"
"2348","Elijah Mitchell","SF","RB","208.2","0.8","8.7","79.0","0.1","33.82"
"1228","Royce Freeman","HOU","RB","180.2","0.8","14.2","100.4","0.2","33.76"
"2347","Jermar Jefferson","DET","RB","177.0","1.3","10.6","85.4","0.1","33.74"
"1434","Mike Boone","DEN","RB","227.4","1.1","6.3","44.5","0.1","32.89"
"325","Rex Burkhead","HOU","RB","116.9","0.9","14.1","118.1","0.8","32.80"
"1536","Trayveon Williams","CIN","RB","187.4","1.2","12.1","98.4","0.4","30.98"
"2350","Kylin Hill","GB","RB","176.7","1.0","7.1","57.6","0.3","30.63"
"965","Jeremy McNichols","FA","RB","156.1","0.8","8.7","65.5","0.2","27.86"
"892","Jalen Richard","LV","RB","117.8","0.5","14.1","119.3","0.4","27.61"
"1911","Lamical Perine","NYJ","RB","166.9","1.0","7.5","55.0","0.0","27.59"
"2360","Chris Evans","CIN","RB","120.9","0.5","13.3","106.2","0.3","26.61"
"731","Alex Collins","SEA","RB","150.9","0.9","8.1","51.1","0.2","25.90"
"1932","J.J. Taylor","NE","RB","158.4","1.1","5.0","32.5","0.1","25.39"
"968","Dare Ogunbowale","JAC","RB","102.2","0.4","15.8","115.9","0.3","25.11"
"1928","Rico Dowdle","DAL","RB","126.3","0.9","3.7","31.6","0.0","21.19"
"1379","Jordan Wilkins","FA","RB","124.3","0.6","6.5","43.9","0.1","20.72"
"2499","Kene Nwangwu","MIN","RB","124.6","0.6","4.3","38.4","0.1","19.90"
"736","Jordan Howard","PHI","RB","97.5","1.3","3.4","20.1","0.0","19.56"
"1231","Kalen Ballage","PIT","RB","110.8","0.9","5.1","33.7","0.0","19.55"
"1926","JaMycal Hasty","SF","RB","119.3","0.6","5.5","37.9","0.1","19.32"
"1224","Jaylen Samuels","ARI","RB","101.9","0.5","8.3","45.0","0.2","18.89"
"293","Brandon Bolden","NE","RB","72.0","1.2","2.6","23.0","0.3","18.50"
"2356","Khalil Herbert","CHI","RB","101.1","0.7","5.0","35.4","0.1","18.15"
"2355","Demetric Felton","CLE","RB","61.6","0.4","8.1","75.9","0.3","17.95"
"2547","Gary Brightwell","NYG","RB","127.0","0.4","3.7","29.4","0.0","17.44"
"2589","Nate McCrary","BAL","RB","93.3","0.4","7.0","56.4","0.1","17.37"
"739","Peyton Barber","LV","RB","97.9","0.9","2.8","17.4","0.1","16.63"
"579","Duke Johnson","MIA","RB","104.5","0.0","11.4","90.7","0.0","16.52"
"1915","Ke'Shawn Vaughn","TB","RB","74.8","0.5","4.9","40.0","0.3","15.98"
"897","C.J. Ham","MIN","RB","21.1","0.1","10.3","97.0","0.5","15.41"
"1554","Qadree Ollison","ATL","RB","99.3","0.7","2.6","12.0","0.0","15.33"
"1173","Trey Edmunds","PIT","RB","90.1","0.5","3.9","23.6","0.2","15.27"
"1543","Travis Homer","SEA","RB","71.1","0.2","7.1","47.8","0.2","13.99"
"2251","Sewo Olonilua","DAL","RB","66.7","0.4","4.5","32.8","0.2","12.95"
"1174","Patrick Ricard","BAL","RB","13.4","0.1","11.8","72.6","0.7","12.50"
"1761","D'Ernest Johnson","CLE","RB","101.4","0.1","3.2","19.8","0.0","12.12"
"556","Keith Smith","ATL","RB","44.2","0.3","6.5","48.5","0.2","11.97"
"636","Ty Montgomery","NO","RB","32.4","0.1","7.5","70.8","0.2","11.82"
"1794","Alec Ingold","LV","RB","13.1","0.0","9.4","76.9","0.4","11.10"
"573","Todd Gurley","FA","RB","63.1","0.7","3.2","24.9","0.0","10.00"
"960","Corey Clement","DAL","RB","41.0","0.4","3.0","20.5","0.1","9.15"
"578","Ameer Abdullah","CAR","RB","44.7","0.0","5.2","34.4","0.2","9.11"
"1825","Khari Blasingame","TEN","RB","42.1","0.1","3.7","30.1","0.2","8.72"
"2351","Pooka Williams","FA","RB","69.0","0.0","2.0","14.0","0.0","8.30"
"54","Frank Gore","FA","RB","55.8","0.2","2.0","15.0","0.0","8.28"
"1906","Eno Benjamin","ARI","RB","55.4","0.2","2.8","18.4","0.0","8.28"
"1109","Alexander Armah","WAS","RB","17.2","0.2","4.2","33.0","0.3","8.02"
"1727","Darwin Thompson","KC","RB","51.4","0.0","5.1","23.1","0.0","7.45"
"2353","Javian Hawkins","FA","RB","57.0","0.0","2.0","17.0","0.0","7.40"
"2354","Mehki Sargent","JAC","RB","61.1","0.2","0.0","0.1","0.0","7.02"
"862","Derek Watt","PIT","RB","39.2","0.3","1.5","8.3","0.1","6.85"
"1460","Buddy Howell","LAR","RB","15.4","0.2","3.3","22.9","0.2","6.23"
"669","Michael Burton","KC","RB","14.0","0.1","4.0","25.5","0.2","5.75"
"2193","Gabe Nabers","LAC","RB","9.0","0.1","3.1","21.9","0.2","4.89"
"326","Chris Thompson","FA","RB","10.3","0.0","4.9","33.7","0.0","4.40"
"958","D'Onta Foreman","TEN","RB","38.6","0.0","0.0","2.6","0.0","4.12"
"1034","Elijhaa Penny","NYG","RB","12.4","0.2","1.6","9.2","0.1","3.96"
"67","Adrian Peterson","FA","RB","49.1","0.2","1.1","8.2","0.0","3.93"
"1358","Ito Smith","DAL","RB","27.0","0.0","2.0","8.0","0.0","3.50"
"2352","Asim Rose","MIN","RB","22.0","0.0","2.0","13.0","0.0","3.50"
"220","Nick Bellore","SEA","RB","4.7","0.0","2.8","16.4","0.2","3.31"
"2591","Caleb Huntley","ATL","RB","24.0","0.0","1.4","8.0","0.0","3.20"
"852","Andy Janovich","CLE","RB","3.7","0.0","2.9","21.3","0.1","3.10"
"328","Le'Veon Bell","FA","RB","38.7","0.0","2.9","21.2","0.0","2.99"
"2573","Gerrid Doaks","MIA","RB","19.0","0.0","1.0","6.0","0.0","2.50"
"444","Devonta Freeman","BAL","RB","15.4","0.0","1.7","8.6","0.0","2.40"
"576","T.J. Yeldon","FA","RB","12.0","0.0","1.5","12.0","0.0","2.40"
"2127","Malcolm Perry","NE","RB","4.7","0.0","2.3","19.2","0.0","2.39"
"2349","Rakeem Boyd","FA","RB","22.0","0.0","0.0","0.0","0.0","2.20"
"2622","Godwin Igwebuike","DET","RB","15.6","0.1","0.0","0.0","0.0","2.16"
"1797","Reggie Bonnafon","WAS","RB","9.8","0.0","1.0","10.5","0.0","2.03"
"1777","Jakob Johnson","NE","RB","0.0","0.0","1.8","13.7","0.1","1.97"
"1921","Michael Warren","FA","RB","12.0","0.0","1.0","5.0","0.0","1.70"
"737","Jonathan Williams","WAS","RB","9.8","0.0","0.9","7.0","0.0","1.68"
"2146","Jonathan Ward","ARI","RB","14.1","0.0","0.4","2.3","0.0","1.64"
"1417","Nick Bawden","NYJ","RB","6.0","0.0","2.0","9.0","0.0","1.50"
"1534","Dexter Williams","CLE","RB","8.8","0.0","0.8","5.4","0.0","1.42"
"1929","Scottie Phillips","HOU","RB","5.6","0.1","0.2","1.5","0.0","1.31"
"876","Dwayne Washington","NO","RB","9.0","0.0","0.3","2.7","0.0","1.17"
"2313","Antonio Williams","NYG","RB","4.9","0.0","0.9","6.3","0.0","1.12"
"1553","Devine Ozigbo","NE","RB","4.7","0.0","0.8","5.6","0.0","1.03"
"1425","Ryan Nall","CHI","RB","3.9","0.0","0.9","6.2","0.0","1.01"
"1931","Artavis Pierce","FA","RB","3.9","0.0","0.9","6.2","0.0","1.01"
"2187","Nathan Cottrell","JAC","RB","3.6","0.0","0.9","6.4","0.0","1.00"
"2078","Jason Huntley","PHI","RB","3.9","0.0","0.9","6.1","0.0","1.00"
"1555","Damarea Crockett","DEN","RB","4.2","0.0","0.9","5.7","0.0","0.99"
"1935","LeVante Bellamy","FA","RB","4.1","0.0","0.8","5.3","0.0","0.94"
"1222","Josh Adams","NO","RB","4.1","0.0","0.8","5.3","0.0","0.94"
"1138","Taquan Mizzell","FA","RB","3.7","0.0","0.9","5.4","0.0","0.91"
"1936","Adrian Killins Jr.","DEN","RB","3.5","0.0","0.8","5.4","0.0","0.89"
"287","Alfred Morris","FA","RB","3.5","0.0","0.9","5.2","0.0","0.87"
"1842","Patrick Laird","MIA","RB","3.5","0.0","0.8","4.9","0.0","0.84"
"199","Taiwan Jones","BUF","RB","6.5","0.0","0.2","1.7","0.0","0.82"
"1437","Dontrell Hilliard","TEN","RB","3.1","0.0","0.6","4.1","0.0","0.72"
"1729","Cullen Gillaspia","NYG","RB","3.0","0.0","0.7","4.0","0.0","0.70"
"1802","Tony Brooks-James","FA","RB","3.0","0.0","0.1","1.0","0.0","0.40"
"966","Elijah McGuire","FA","RB","1.0","0.0","0.1","1.0","0.0","0.20"
"1035","Brian Hill","FA","RB","1.2","0.0","0.0","0.0","0.0","0.12"
"730","C.J. Prosise","FA","RB","0.8","0.0","0.0","0.0","0.0","0.08"
"1642","Christian Wade","BUF","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"2455","Darius Clark","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"1922","Patrick Taylor","GB","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"1923","Xavier Jones","LAR","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"1914","Rodney Smith","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"2126","Raymond Calais","LAR","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"2359","Trey Ragas","LV","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"101","LeSean McCoy","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"327","Theo Riddick","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"898","Troymaine Pope","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"740","Tyler Ervin","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"547","Senorise Perry","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"1402","Trenton Cannon","SF","RB","0.0","0.0","0.0","0.0","0.0","0.00"
"1223","Kerryon Johnson","FA","RB","0.0","0.0","0.0","0.0","0.0","0.00"
