"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"341","Travis Kelce","KC","TE","137.1","105.6","1347.9","10.2","194.52"
"637","Darren Waller","LV","TE","141.3","100.5","1154.5","7.5","158.38"
"1088","George Kittle","SF","TE","124.4","87.0","1123.1","6.1","148.06"
"1268","Mark Andrews","BAL","TE","102.6","69.8","839.5","7.9","129.55"
"2414","Kyle Pitts","ATL","TE","109.6","73.9","855.0","6.4","121.80"
"1591","T.J. Hockenson","DET","TE","116.3","76.0","833.0","5.8","116.60"
"1160","Robert Tonyan","GB","TE","82.4","55.3","609.5","7.0","102.35"
"1590","Noah Fant","DEN","TE","110.6","69.4","763.7","4.4","101.57"
"1271","Dallas Goedert","PHI","TE","98.6","62.9","717.7","5.1","100.87"
"759","Tyler Higbee","LAR","TE","94.9","60.0","679.3","5.4","99.43"
"1269","Mike Gesicki","MIA","TE","96.3","55.9","663.5","5.4","97.55"
"141","Rob Gronkowski","TB","TE","99.0","47.3","616.8","5.8","96.18"
"440","Logan Thomas","WAS","TE","110.1","67.8","668.6","4.9","95.30"
"993","Jonnu Smith","NE","TE","87.1","56.6","612.6","4.8","89.28"
"104","Jared Cook","LAC","TE","86.4","51.5","580.9","5.3","88.69"
"757","Hunter Henry","NE","TE","85.6","51.3","562.8","4.2","80.58"
"1463","Anthony Firkser","TEN","TE","75.7","50.6","531.1","4.6","80.44"
"758","Austin Hooper","CLE","TE","80.6","51.4","516.3","4.6","78.03"
"1972","Cole Kmet","CHI","TE","87.0","56.0","540.3","4.0","75.63"
"342","Zach Ertz","ARI","TE","92.6","52.9","551.4","3.6","75.54"
"990","Evan Engram","NYG","TE","84.9","54.6","566.1","2.9","73.74"
"1032","Gerald Everett","SEA","TE","86.3","50.2","514.6","3.6","71.86"
"1315","Blake Jarwin","DAL","TE","86.0","46.5","498.8","3.7","71.18"
"461","Eric Ebron","PIT","TE","78.3","48.0","488.3","3.9","71.03"
"1975","Adam Trautman","NO","TE","68.6","39.0","438.5","4.3","68.45"
"1276","Hayden Hurst","ATL","TE","73.6","42.2","437.3","3.9","66.83"
"1596","Dawson Knox","BUF","TE","69.7","38.8","444.4","3.9","66.64"
"989","O.J. Howard","TB","TE","76.0","34.9","444.4","3.4","63.64"
"1272","Tyler Conklin","MIN","TE","71.4","42.1","441.9","3.0","61.59"
"1343","Jordan Akins","HOU","TE","47.7","40.0","433.3","2.1","55.35"
"148","Jimmy Graham","CHI","TE","46.9","32.3","320.8","3.9","55.18"
"1275","Chris Herndon","MIN","TE","69.0","37.2","386.1","3.2","54.81"
"1443","Dan Arnold","JAC","TE","58.6","33.4","394.4","2.7","54.44"
"1362","Dalton Schultz","DAL","TE","58.4","35.8","385.9","2.7","54.19"
"1038","Mo Alie-Cox","IND","TE","49.7","32.5","383.5","2.5","52.15"
"1423","Ryan Izzo","TEN","TE","0.0","25.0","417.0","2.0","50.70"
"426","Jack Doyle","IND","TE","53.0","31.2","332.9","2.7","49.19"
"666","C.J. Uzomah","CIN","TE","38.6","34.2","345.7","2.4","48.37"
"605","Tyler Kroft","NYJ","TE","51.9","29.0","292.6","2.7","45.16"
"992","David Njoku","CLE","TE","52.4","24.7","284.4","2.6","44.04"
"1978","Albert Okwuegbunam","DEN","TE","50.0","29.8","327.1","1.8","43.21"
"1353","Will Dissly","SEA","TE","32.4","26.3","276.2","2.2","40.52"
"186","Kyle Rudolph","NYG","TE","35.9","28.1","271.8","2.1","39.48"
"1769","Donald Parham","LAC","TE","27.0","22.2","257.7","2.1","38.07"
"564","Cameron Brate","TB","TE","45.4","24.9","256.7","1.8","36.47"
"1980","Harrison Bryant","CLE","TE","54.0","23.5","242.2","2.4","36.22"
"1808","Stephen Carlson","CLE","TE","0.0","18.0","196.2","2.7","35.82"
"2416","Pat Freiermuth","PIT","TE","62.3","25.1","267.6","1.7","35.76"
"2415","Brevin Jordan","HOU","TE","45.9","23.4","242.1","1.6","32.31"
"1504","Pharaoh Brown","HOU","TE","43.0","22.0","224.2","1.6","32.02"
"2641","Tommy Hudson","TEN","TE","0.0","20.9","219.5","1.5","30.96"
